"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'4210201415008";"566566826";"1068296527";"4210201415008";"Электрическая зубная щетка Oral-B iO 4 Lavender, дорожный футляр, 4 режима, с датчиком давления";"'100";"Oral-B";"Готов к продаже";"16";"'5.00";"Показывается";;"2023-07-07 09:47:07";"Электронные товары для красоты и здоровья";"'4.54";"'0.9";"0";"0";"0";"0";"0";"0";"15240.00";"21990.00";;;;"20%"
"'4210201410652";"566570837";"1068303917";"4210201410652";"Насадки для электрической зубной щетки Oral-B Cross Action EB50RBRX-6 Black, 6 шт";"'100";"Oral-B";"Продается";"55";"'4.50";"Показывается";;"2023-07-07 09:50:36";"Аксессуары для электроники";"'0.44";"'0.1";"6";"0";"0";"75";"75";"0";"3435.00";"4900.00";;;;"0%"
"'81695626";"568491801";"1071548755";"2000000193540";"Насадка - бреющая головка (mini) для триммера Braun BT5040-7040, MGK 5080-7021 / черный";"'70";"Braun";"Продается";"6";"'5.00";"Показывается";;"2023-07-10 08:06:29";"Аксессуары для электроники";"'0.09";"'0.1";"2";"0";"0";"2";"2";"0";"3880.00";"4840.00";;;;"20%"
"'IS2565BL";"569031688";"1113105489";"8021098000927";"Парогенератор Braun CareStyle Compact Pro IS2565BL";"'62.5";"Braun";"Продается";"1";"'5.00";"Показывается";;"2023-07-10 13:46:34";"Электронная техника для дома";"'28.88";"'5.8";"1";"0";"0";"0";"0";"0";"22720.00";"32920.00";;;;"20%"
"'4210201410621";"569031861";"1075725957";"4210201410621";"Насадки для электрической зубной щетки Oral-B EB50BRB Cross Action Black 3 шт";"'92.5";"Oral-B";"Продается";"55";"'4.50";"Показывается";;"2023-07-10 13:47:15";"Аксессуары для электроники";"'0.35";"'0.1";"28";"0";"0";"0";"0";"0";"2460.00";"3610.00";;;;"20%"
"'Б0058409";"572982814";"1079543241";"4210201432630";"Мужская электробритва Braun Series 5 51-B1200S Black/Blue Wet&Dry";"'87.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-07-14 09:33:47";"Электронные товары для красоты и здоровья";"'2.55";"'0.5";"3";"0";"0";"15";"15";"0";"11890.00";"21990.00";;;;"20%"
"'4210201241379";"575003405";"1083188405";"4210201241379";"Электрическая зубная щетка Oral-B Vitality Kids D100.423.2K Frozen, подарочная упаковка";"'92.5";"Oral-B";"Готов к продаже";"59";"'4.80";"Показывается";;"2023-07-17 11:40:12";"Электронные товары для красоты и здоровья";"'1.94";"'0.5";"0";"0";"0";"0";"0";"0";"5000.00";"7030.00";;;;"20%"
"'FI3124PU";"576229120";"1085375097";"8021098001900";"Паровой утюг Braun FI 3124PU";"'70";"Braun";"Продается";"12";"'3.70";"Показывается";;"2023-07-18 10:14:49";"Электронная техника для дома";"'7.92";"'1.6";"1";"0";"0";"0";"0";"0";"6955.00";"9390.00";;;;"20%"
"'Б0052956";"584899278";"1101353204";"4210201291749";"Электрическая зубная щетка Oral-B Pro 3 3500, с визуальным датчиком давления, дорожный футляр, Черная";"'100";"Oral-B";"Продается";"117";"'4.80";"Показывается";;"2023-07-27 10:00:01";"Электронные товары для красоты и здоровья";"'4.25";"'0.9";"7";"0";"0";"95";"95";"0";"6445.00";"9330.00";;;;"20%"
"'Б0052985";"585868674";"1103163181";"4210201356585";"Насадки для электрической зубной щетки Oral-B EB60 Sensitive Clean 4 шт";"'100";"Oral-B";"Продается";"52";"'4.90";"Показывается";;"2023-07-28 08:19:03";"Аксессуары для электроники";"'0.26";"'0.1";"8";"0";"0";"0";"0";"0";"2645.00";"3470.00";;;;"20%"
"'Б0052954";"585900618";"1103225701";"4210201291640";"Электрическая зубная щетка Oral-B Pro 3 3000, с визуальным датчиком давления, Голубая";"'100";"Oral-B";"Продается";"54";"'4.30";"Показывается";;"2023-07-28 08:42:01";"Электронные товары для красоты и здоровья";"'1.75";"'0.4";"14";"0";"0";"0";"0";"0";"7460.00";"10070.00";;;;"20%"
"'81719634";"591410782";"1113654022";"2000000203058";"Привод насадки для пилинга для эпилятора Silk-epil SE9 Flex";"'30";"Braun";"Готов к продаже";"0";"'0.00";"Показывается";;"2023-08-01 13:51:00";"Косметическая техника";"'0.14";"'0.1";"0";"0";"0";"0";"0";"0";"2545.00";"3520.00";;;;"20%"
"'Б0057089";"594593425";"1119326605";"4210201423485";"Эпилятор Braun Silk-epil 1 S1 SE 1-176 White";"'82.5";"Braun";"Готов к продаже";"179";"'4.60";"Показывается";;"2023-08-04 10:40:42";"Косметическая техника";"'0.97";"'0.5";"0";"0";"0";"0";"0";"0";"5900.00";"7750.00";;;;"20%"
"'Б0061696";"594593472";"1119325203";"8001090955371";"Эпилятор Braun S5 SES 5-600 белый/розовый 3 насадки тип 5391";"'92.5";"Braun";"Продается";"343";"'4.90";"Показывается";;"2023-08-04 10:40:43";"Косметическая техника";"'2.52";"'0.5";"7";"0";"0";"44";"44";"0";"18630.00";"23570.00";;;;"20%"
