"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'Б0052955-Б0052985";"1674553740";"2067119476";"2000000205434";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая + Насадки Oral-B Sensitive, 4 шт";"'82.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 09:14:21";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"9375.00";"13580.00";;;;"20%"
"'Б0052955-Б0052956-EB_4";"1674588615";"2067178719";"4673765486905";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая и черная + Насадки Oral-B CrossAction, 4 шт";"'82.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 09:18:09";"Электронные товары для красоты и здоровья";"'13.75";"'2.8";"4";"0";"0";"4";"4";"0";"16520.00";"25800.00";;;;"20%"
"'8700216518031-EB_4";"1674649857";"2067227654";"4673765486820";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 Cross Action Protect X голубая + насадки CrossAction 4 шт";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 09:24:41";"Электронные товары для красоты и здоровья";"'2.48";"'0.5";"0";"0";"0";"3";"3";"0";"6355.00";"8820.00";;;;"20%"
"'8700216518031-EB_2";"1674668923";"2067207961";"4673765486837";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 Cross Action Protect X голубая + насадки CrossAction 2 шт";"'100";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-04-24 09:27:11";"Электронные товары для красоты и здоровья";"'2.48";"'0.5";"0";"0";"0";"0";"0";"0";"4965.00";"7490.00";;;;"20%"
"'Б0052957-EB_6";"1674688157";"2067257427";"4673765486790";"Комплект Электрическая зубная щетка Oral-B Pro 3 3500 Black+White + Насадки Oral-B CrossAction, 6 шт";"'82.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 09:29:19";"Электронные товары для красоты и здоровья";"'7.92";"'1.6";"6";"0";"0";"3";"3";"0";"12780.00";"18510.00";;;;"20%"
"'Б0059620-EB_4";"1674749282";"2067311977";"4673765486806";"Комплект Электрическая зубная щетка Oral-B Vitality Pro, сиреневый + Насадки Oral-B CrossAction, 4 шт";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 09:37:52";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"6345.00";"8560.00";;;;"20%"
"'Б0059620-EB_2";"1674931459";"2067454942";"4673765486813";"Комплект Электрическая зубная щетка Oral-B Vitality Pro, сиреневый + Насадки Oral-B CrossAction, 2 шт";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 10:06:07";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"5100.00";"6880.00";;;;"20%"
"'80368953-EB_4";"1674959004";"2067459624";"4673765486875";"Комплект Электрическая зубная щетка Oral-B Vitality Pro Duo Черная и Сиреневая + Насадки Oral-B CrossAction, 4 шт";"'70";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-04-24 10:11:29";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"0";"0";"0";"0";"0";"0";"9065.00";"12410.00";;;;"20%"
"'80368953-EB_4-3014260280772x2";"1674987718";"2067493749";"4673765486882";"Комплект Электрическая зубная щетка Oral-B Vitality Pro Duo Черная и Сиреневая + Насадки Oral-B CrossAction, 4 шт + Зубная нить Essential Floss, 2 шт";"'70";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-04-24 10:16:37";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"0";"0";"0";"0";"0";"0";"9720.00";"14940.00";;;;"20%"
"'80368953-Б0052979-EB_2";"1674993419";"2067492394";"4673765486899";"Комплект Электрическая зубная щетка Oral-B Vitality Pro Duo Черная и Сиреневая + Насадки Oral-B CrossAction, 2 шт + 2 шт";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 10:17:55";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"9080.00";"13540.00";;;;"20%"
"'8700216820486";"1764897500";"2133703421";"8700216820486";"Электрическая зубная щетка Oral-B Vitality Kids Chameleon (D103.413.2K)";"'92.5";"Oral-B";"Продается";"59";"'4.80";"Показывается";;"2025-05-14 13:39:45";"Электронные товары для красоты и здоровья";"'1.32";"'0.3";"6";"0";"0";"70";"70";"0";"4835.00";"7100.00";;;;"20%"
"'AX12710001_DISCOUNT";"1776278192";"2142336406";;"Тефлоновая насадка для деликатных тканей Braun TP7. Товар уцененный";"'Не рассчитываем контент-рейтинг для уценки FBS";"Braun";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-05-16 09:55:32";"Декор, уборка и хранение";"'1.47";"'0.3";"0";"0";"0";"0";"0";"0";"3191.00";"7250.00";;;;"20%"
"'8700216820349";"1809022371";"2167219201";"8700216820349";"Насадки для электрической зубной щетки Oral-B Kids EB10S Chameleon 4 шт";"'92.5";"Oral-B";"Продается";"141";"'4.80";"Показывается";;"2025-05-22 08:58:23";"Аксессуары для электроники";"'2.38";"'0.5";"0";"0";"0";"18";"18";"0";"3290.00";"4320.00";;;;"20%"
"'0128803002";"1809073383";"2167243726";"8021098280565";"Парогенератор Braun CareStyle 3 Pro Steam Generator Iron IS3157BL";"'45";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-05-22 09:02:31";"Электронная техника для дома";"'31.45";"'6.3";"0";"0";"0";"1";"1";"0";"20070.00";"27870.00";;;;"20%"
"'SI9682DB";"1809084442";"2167257058";"8021098002938";"Паровой утюг Braun TexStyle 9 SI9682DB";"'80";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-05-22 09:03:28";"Электронная техника для дома";"'6.72";"'1.7";"4";"0";"1";"0";"0";"0";"11790.00";"17590.00";;;;"20%"
